Table view
"Error Code","Error Category","Severity Level","Error Message","Root Cause Description","Impact on System","Automated Resolution","Manual Resolution Steps","Prevention Strategy","Related Metrics to Monitor","Escalation Path","Average Resolution Time (minutes)"
"ERR-1011","Monitoring","Medium","Prometheus scrape failures >5%","Target endpoint /metrics returning 500 due to auth misconfig","Gaps in observability; alerting blind spots","Yes","Fix ServiceMonitor selector; verify auth header: kubectl describe servicemonitor; restart exporter","Standardize metrics endpoints; config tests","prometheus_scrape_success, svc_availability_pct","On-call Observability","15"
"ERR-1012","Model Inference","High","Prediction accuracy drop below threshold (<0.7 AUC)","Data drift from upstream instrument calibration change","Degraded alert quality; potential false negatives","No","Run drift report: feast-drift --window 24h; retrain with latest data; switch to fallback ensemble: helm upgrade --set useEnsemble=true","Data drift monitors; calibration change notifications","model_inference_errors_total, accuracy_7d_avg, data_quality_score","ML Ops -> Data Science Lead","120"
"ERR-1013","Data Ingestion","High","Redis connectivity error: READONLY You can't write against a read only replica","Failover happened; writers still pointing to replica","Checkpointing fails; offsets not saved","Yes","Update endpoint to primary via Sentinel: redis-cli -p 26379 SENTINEL get-master-addr-by-name mredis; update secret; restart","Use Redis Sentinel/Cluster with automatic failover","redis_connected_clients, stream_processing_lag_ms","Platform SRE","20"
"ERR-1014","Storage","High","Database connection pool exhausted","Pgbouncer pool maxed due to spike or leak","New queries blocked; timeouts","Partial","Increase pool: pgbouncer.ini max_client_conn; kill idle conns: SHOW POOLS; RELOAD; fix app pooling settings","Connection pooling best practices; reuse; circuit breakers","timescaledb_query_duration_ms, db_connection_pool_in_use, api_5xx_rate","DBA On-call","30"
"ERR-1015","Alert Delivery","Medium","Alert delivery timeout (>5s)","Downstream webhook latency high or network jitter","Delayed notifications","Yes","Queue retry: alert-worker --retry; extend timeout in notifier.conf; trace with curl --http2-prior-knowledge","Backoff + dead-letter queues; SLAs with clients","webhook_delivery_latency_ms, alert_queue_depth, network_packet_loss_pct","Notification Eng","15"
"ERR-1016","API Gateway","High","Authentication token expired for client","JWT expired; client not refreshing","401 responses; client offline","Yes","Rotate key if necessary; contact client; extend grace: edit OPA policy to allow refresh window","Token refresh guides; refresh tokens; proactive expiry alerts","api_5xx_rate, auth_token_expiry_seconds","API Eng -> Customer Success","10"
"ERR-1017","Model Inference","Critical","GPU driver mismatch with CUDA toolkit","Node image updated without driver compatibility","Inference pods crashloop","No","Drain node: kubectl drain ; install matching driver: nvidia-smi, sudo apt install nvidia-driver-; cordon/uncordon","Use node image pinning; preflight checks in CI","gpu_memory_used_bytes, svc_availability_pct","Platform SRE -> ML Ops","60"
"ERR-1018","Monitoring","Medium","Alert rule eval errors in Prometheus","Syntax error after rules update","Missing pages; blind to incidents","Yes","Check promtool: promtool check rules rules/*.yaml; fix and reload via POST /-/reload","CI validate rules before deploy","prometheus_scrape_success, svc_availability_pct","Observability On-call","8"
"ERR-1019","Data Ingestion","High","Real-time stream lag exceeding SLA (>120s)","Backpressure from slow downstream processing","Forecasts delayed","Partial","Scale processors: kubectl scale deploy/feature-extractor; increase Kafka partitions: kafka-topics --alter --partitions 8","Autoscale on lag; partitioning strategy","kafka_consumer_lag, stream_processing_lag_ms, throughput_msgs_per_sec","Platform SRE","25"
"ERR-1020","Model Inference","High","Feature engineering service crashloop","Null pointer due to unexpected missing fields","Inference blocked waiting on features","Yes","Hotfix: kubectl set env deploy/fe-service STRICT_MODE=false; add null guards; restart","Schema validation; contract tests","model_inference_latency_ms, model_inference_errors_total, cpu_utilization_pct","ML Ops","20"
"ERR-1021","Storage","Medium","TimescaleDB hypertable compression job stuck","Background worker blocked by lock","Increased storage usage; potential bloat","No","Cancel job: SELECT pg_cancel_backend(pid) FROM pg_stat_activity WHERE query LIKE '%compress%'; reschedule; analyze","Schedule during low traffic; lock monitoring","timescaledb_query_duration_ms, disk_free_bytes","DBA On-call","35"
"ERR-1022","API Gateway","Medium","Cache invalidation error for /forecast cache key","Stale responses served after model update","Clients receive outdated forecasts","Partial","Purge key: curl -X PURGE https://api/cache/forecast?key=...; fix invalidation hook in CI","Event-driven cache busting on model deploy","api_5xx_rate, cache_hit_ratio","API Eng","12"
"ERR-1023","Alert Delivery","High","Email SMTP quota exceeded","Provider throttling due to quota","Email alerts dropped","Yes","Switch to secondary SMTP: kubectl patch secret smtp-cred-secondary; reroute in notifier config","Multi-provider failover; rate control","alert_queue_depth, svc_availability_pct","Notification Eng","18"
"ERR-1024","Monitoring","Low","Grafana dashboard JSON parse error","Broken panel after import","Read-only dashboard impacted","Yes","Fix JSON and re-import; grafana-cli dashboards import","Export/import validation","svc_availability_pct","Observability","5"
"ERR-1025","Data Ingestion","Critical","Network partition between ingest and Kafka","Calico network policy misconfig or node failure","No events written; full pipeline paused","No","Rollback network policy: kubectl rollout undo ds/calico; reroute via alternate broker; verify with kcat -b broker:9092 -L","Blue/green network policy changes; chaos tests","kafka_consumer_lag, network_packet_loss_pct, throughput_msgs_per_sec, svc_availability_pct","Platform SRE","50"
"ERR-1026","Model Inference","High","Ensemble model disagreement > threshold","Models diverge due to drift or bug","Confidence low; alerts suppressed","Yes","Fallback to conservative model: set ENSEMBLE_MODE=weighted; investigate features alignment","Regular consensus monitoring; shadow testing","model_inference_errors_total, accuracy_7d_avg","ML Ops -> Data Science","22"
"ERR-1027","Data Ingestion","Medium","CME catalog API timeout","External catalog responding slowly","Event enrichment delayed","Partial","Increase timeout to 20s; add retry: curl --max-time 20; queue enrichment for async","Cache recent CME entries; mirror data","cme_api_latency_ms, svc_availability_pct","Ingestion SRE","15"
"ERR-1028","Model Inference","High","Image processing pipeline stall","Deadlock in OpenCV worker pool","No new frames; image features stale","No","Dump threads: kubectl exec img-proc -- py-spy dump; restart: kubectl rollout restart deploy/img-proc; apply patch to remove GIL bottleneck","Use process-based pools; watchdogs","model_inference_latency_ms, cpu_utilization_pct","ML Ops","40"
"ERR-1029","Storage","High","TimescaleDB autovacuum not keeping up","High write rate; bloat increasing","Queries slow; timeouts risk","Partial","Tune autovacuum: ALTER TABLE ... SET (autovacuum_vacuum_scale_factor=0.05); run manual VACUUM FULL during maintenance","Capacity planning; partitions","timescaledb_query_duration_ms, disk_free_bytes","DBA On-call","60"
"ERR-1030","API Gateway","Medium","CORS preflight failing for partner domain","Misconfigured allowed origins","Client browser blocked","Yes","Update gateway configmap allowed_origins to include partner; redeploy","Automated tests for CORS routes","api_5xx_rate, svc_availability_pct","API Eng","10"
"ERR-1031","Alert Delivery","Medium","Push notification service unavailable","Third-party FCM/APNS outage","Mobile alerts delayed","Partial","Route to backup channel (email/SMS); requeue for retry","Multi-channel redundancy","alert_queue_depth, svc_availability_pct","Notification Eng","20"
"ERR-1032","Monitoring","High","Prometheus TSDB out of space","Retention too long; high series cardinality","Metrics ingestion stops; alerts fail","No","Prune retention: --storage.tsdb.retention.time=15d; delete high-cardinality labels; expand PV","Cardinality budgets; recording rules","disk_free_bytes, prometheus_scrape_success","Observability -> Platform","45"
"ERR-1033","Model Inference","High","Memory leak in ML pipeline","Unreleased tensors or images","Latency increases; OOM kills","Partial","Enable periodic worker restart; add torch.no_grad(); profile with tracemalloc","CI memory leak tests; limits","model_inference_latency_ms, memory_rss_bytes","ML Ops","35"
"ERR-1034","Storage","Medium","Read replica lag > 60s","Network saturation or long queries","Stale reads for analytics","Yes","Throttle heavy queries; tune wal_sender_timeout; investigate network","Replica lag alerts; read routing","timescaledb_query_duration_ms, svc_availability_pct","DBA On-call","25"
"ERR-1035","Data Ingestion","Medium","Coordinate transformation error: NaN in HEEQ to GSM","Invalid input vector or division by zero","Bad features; model input rejected","Yes","Clamp inputs; add validation; fix lib call; unit tests","Sanity checks on coordinates; fallbacks","model_inference_errors_total, data_quality_score","Data Engineering","18"
"ERR-1036","API Gateway","High","Gateway 502 from upstream inference service","Upstream pods crashloop or DNS issue","Client sees 502; forecasts unavailable","Partial","Check svc endpoints: kubectl get endpoints inference; restart pods; resolve DNS","Readiness probes; retries","api_5xx_rate, svc_availability_pct","API Eng -> Platform","22"
"ERR-1037","Alert Delivery","High","SMS provider callback 5xx","Provider partial outage","SMS alerts failing","Yes","Failover to secondary provider; retry backlog","Multi-provider routing","alert_queue_depth, svc_availability_pct","Notification Eng","15"
"ERR-1038","Monitoring","Medium","Blackbox probe latency > SLA to client webhooks","Network path congestion","Potential alert timeouts","Yes","Adjust timeout; reroute via alternate egress; mtr to diagnose","Multiple egress paths; QoS","network_packet_loss_pct, svc_availability_pct","Observability -> Network","12"
"ERR-1039","Model Inference","Critical","Model registry unavailable (HTTP 503)","Artifact store outage or S3 gateway issue","Cannot fetch models; deploys blocked","No","Switch to cached artifacts; set REGISTRY_READ_ONLY=true; escalate to storage team; s3cmd ls s3://models","Replicated registry cache; CDN","api_5xx_rate, svc_availability_pct","ML Ops -> Storage","50"
"ERR-1040","Data Ingestion","High","Kafka broker not reachable","Broker down or DNS/balancer issue","Producers fail; data loss risk if buffers full","Partial","Failover to other brokers; update bootstrap servers; verify with kcat -b ... -L","Multi-broker clusters; health checks","kafka_consumer_lag, throughput_msgs_per_sec, svc_availability_pct","Platform SRE","28"
"ERR-1041","Storage","High","TimescaleDB deadlock detected","Concurrent updates on same rows","Transactions aborted; retries needed","Yes","Identify blockers: SELECT * FROM pg_locks JOIN pg_stat_activity; reorder transactions; add retries","Avoid conflicting locks; row-level design","timescaledb_query_duration_ms, db_connection_pool_in_use","DBA On-call","30"
"ERR-1042","Model Inference","High","Batch job for retraining failed","Airflow DAG error due to missing dependency","New model not produced; stale model remains","Partial","Airflow: mark task retry; install dependency: pip install scikit-image==0.22; rerun DAG","Pin dependencies; CI env tests","model_inference_errors_total, svc_availability_pct","ML Ops -> Data Science","40"
"ERR-1043","API Gateway","Low","Health check endpoint returning 200 but dependencies down","Health endpoint not checking downstreams","False sense of health","No","Enhance /healthz to include dependency checks; add /readyz with probes","Standardized health/readiness","api_5xx_rate, svc_availability_pct","API Eng","35"
"ERR-1044","Data Ingestion","Medium","Duplicate messages detected in Kafka topic","Producer retries without idempotence","Potential double-processing","Yes","Enable idempotent producer; dedup by key in consumer; compact topic","Exactly-once semantics; keys","kafka_consumer_lag, throughput_msgs_per_sec","Platform SRE","18"
"ERR-1045","Alert Delivery","Medium","Dead-letter queue growth for alerts","Permanent failures accumulating","Potential data loss if not reprocessed","Partial","Investigate top DLQ reasons; reprocess: alert-dlq-replay --batch 1000","DLQ dashboards; auto triage","webhook_delivery_latency_ms, alert_queue_depth","Notification Eng","30"
"ERR-1046","Monitoring","High","Silence expired during incident","Silence not extended; noisy alerts resumed","Alert fatigue; confusion","Yes","Extend silence via Alertmanager API; document timeline","Strict incident runbooks","prometheus_scrape_success, svc_availability_pct","Observability","8"
"ERR-1047","Storage","Critical","Backup job failed for TimescaleDB","S3 permissions error: AccessDenied","No recent backups; risk exposure","Partial","Fix IAM policy; rerun: wal-g backup-push; verify restore","Backup monitoring; periodic restore tests","disk_free_bytes, svc_availability_pct","DBA On-call -> Security","55"
"ERR-1048","Model Inference","High","CPU throttling on inference nodes","K8s limits too low; noisy neighbors","Higher latency; occasional timeouts","Yes","Increase limits: kubectl set resources deploy/lstm-infer --limits=cpu=4; taint/label nodes","Resource QoS; node isolation","model_inference_latency_ms, cpu_utilization_pct","Platform SRE","15"
"ERR-1049","API Gateway","Medium","JWT signature verification failures","Rotated keys not propagated","Auth failures for valid clients","Yes","Sync JWKS cache; restart pods; verify kid","Cache invalidation on key rotate; shorter TTL","api_5xx_rate, auth_token_expiry_seconds","API Eng","12"
"ERR-1050","Data Ingestion","High","Data quality threshold violation: missing fields >2%","Upstream schema change or partial outages","Feature generation drops rows","Yes","Activate fixup: jq to fill defaults; update schema mapping; notify provider","Schema versioning; contracts","throughput_msgs_per_sec, data_quality_score","Data Engineering","22"
