Table view
"Test ID","Test Category","Component Under Test","Test Scenario Description","Test Steps","Expected Result","Actual Result","Test Data Requirements","Prerequisites","Priority","Automation Status","Test Environment","Execution Frequency","Owner"
"TC-066","Integration Test","DLQ Replay","Replay failed alert deliveries","1) alert-dlq-replay --batch 1000
2) Verify deliveries and dedup","DLQ depth reduces to 0; no duplicates","pending","DLQ records","Notifier access","Medium","Automated","Staging","Daily","Notification Eng"
"TC-067","Security Test","SQL","Prevent long-running malicious queries","1) Run heavy query loop
2) Verify statement_timeout and kill behavior","Timeout enforced at 15s; resources protected","pending","Query script","DB params set","Medium","Automated","Staging","Weekly","DBA"
"TC-068","Unit Test","Kafka Serialization","Schema evolution compatibility","1) Produce with new schema version
2) Consumer validates via schema registry","Backward-compatible; rejects breaking change","pending","Avro/JSON schema files","Schema registry","Medium","Automated","Dev","On commit","Platform SRE"
"TC-069","Integration Test","CME Catalog Enrichment","Timeout handling and cache","1) Simulate CME API >20s
2) Verify retry and cached response","Enrichment succeeds via cache; ERR-1027 logged","pending","Cache with recent entries","Network stable","Medium","Automated","Staging","Weekly","Ingestion SRE"
"TC-070","Performance Test","Kafka→Spark/Flink","Throughput and backpressure","1) Increase partitions to 8
2) Run 10k msgs/sec for 10 min
3) Monitor lag","Lag stays <120s after scaling; cpu_utilization_pct <85%","pending","Load generator","Autoscaling enabled","Critical","Automated","Production-like","Pre-release","Platform SRE"
"TC-071","Integration Test","Cache Purge Hook","CI/CD hook triggers purge on model deploy","1) Deploy new model
2) Verify CI pipeline calls PURGE endpoint","Cache invalidated within 60s of deploy","pending","CI pipeline","Purge endpoint accessible","Medium","Automated","Staging","On commit","API Eng"
"TC-072","Chaos Test","DNS","DNS outage for upstream services","1) Break CoreDNS for inference svc
2) Verify retries/backoff then recovery","Short disruption; automatic recovery; no data corruption","pending","Cluster DNS control","Rollback plan","Medium","Manual","Staging","Pre-release","Platform SRE"
"TC-073","Performance Test","Webhook Rate","Notifier throughput at 100 rps","1) Send 6k alerts over 60s
2) Measure success rate and latency",">99% success; P95 <5s; queue depth returns to baseline","pending","Bulk alert payloads","Notifier scaled","High","Automated","Production-like","Pre-release","Notification Eng"
"TC-074","Integration Test","CORS Regression","Automated tests for CORS routes","1) Run suite hitting OPTIONS and GET for key routes","All pass; headers correct","pending","CORS test list","Gateway online","Low","Automated","Dev","On commit","API Eng"
"TC-075","Chaos Test","Circuit Breaker","Breaker prevents retry storm on DSCOVR","1) Force 429 storm
2) Observe breaker open and half-open","Reduced outbound; recovery after cool-down","pending","Fault injector","Breaker configured","High","Automated","Staging","Weekly","Ingestion SRE"
"TC-076","Integration Test","Read Routing","Analytics to read replica when lag <60s","1) Execute read-only queries via router
2) Increase lag >60s and verify failback to primary","Automatic routing adjusts; no stale data","pending","Router config","Replica metrics available","Medium","Manual","Staging","Weekly","DBA"
"TC-077","Performance Test","Model Ensemble API","Ensemble endpoint latency","1) Call /ensemble 200 rps
2) Measure p95","P95 <400ms; 5xx <1%","pending","Payloads","Models healthy","High","Automated","Staging","Pre-release","API Eng"
"TC-078","Security Test","Rate Limit Bypass","Attempt parallel keys to exceed global caps","1) Use 10 API keys 50 rps each
2) Validate tenant-level caps","Global caps enforce; 429 returned appropriately","pending","Multiple keys","Global quotas configured","Medium","Manual","Staging","Pre-release","API Eng"
"TC-079","Integration Test","K8s HPA","Autoscale feature-extractor on CPU and lag","1) Raise CPU >80%
2) HPA scales replicas
3) Lag reduces","Replicas scale up; lag <120s within 5m","pending","HPA policy","Metrics server active","High","Automated","Staging","Daily","Platform SRE"
"TC-080","Unit Test","Alert Formatting","Ensure payload includes confidence and indices","1) Generate alert
2) Validate JSON schema","Schema valid; includes confidence score","pending","Schema definitions","Unit test harness","Low","Automated","Dev","On commit","Notification Eng"
"TC-081","Integration Test","Kp/Dst Storage","Persistence and query consistency","1) Insert predictions
2) Query with time_bucket
3) Validate results","Data accurate; query p95 <5s","pending","Predictions dataset","DB up","Medium","Automated","Staging","Daily","DBA"
"TC-082","Security Test","CORS Allowed Methods","PATCH/DELETE not exposed","1) Attempt disallowed methods
2) Expect 405/blocked","No unintended methods allowed","pending","HTTP client","Policy configured","Low","Automated","Dev","On commit","API Eng"
"TC-083","Integration Test","CME Feature Join","Enrichment joins in Flink job","1) Inject CME events and telemetry
2) Verify correct join within window","Joined features populated; lag acceptable","pending","Joined streams","Flink job running","Medium","Automated","Staging","Weekly","Data Engineering"
"TC-084","Performance Test","Pgbouncer Pool","Pool sized to sustain 1000 rps","1) Load 1000 rps API
2) Monitor db_connection_pool_in_use","No pool exhaustion; response SLA holds","pending","Load generator","Pgbouncer tuned","High","Automated","Production-like","Pre-release","DBA"
"TC-085","Chaos Test","WAL Growth","Long-running transaction blocks WAL","1) Start long txn; pause
2) WAL grows; alerts fire
3) Terminate backend","Space stabilizes; writes resume","pending","SQL session","Monitoring rules set","High","Manual","Staging","Pre-release","DBA"
"TC-086","Integration Test","Cache Hit Ratio","Warm cache improves latency","1) Prime cache with 100 keys
2) Measure hit ratio and latency","cache_hit_ratio >80%; latency drops","pending","Priming script","Cache service","Low","Automated","Staging","Weekly","API Eng"
"TC-087","Performance Test","GRU Inference","Latency and error rate","1) Run 500 req/min
2) Measure latency/errors","P95 <200ms; errors <0.5%","pending","Payloads","GRU deployed","Medium","Automated","Staging","Weekly","ML Ops"
"TC-088","Security Test","Headers","Ensure HSTS and security headers on gateway","1) curl -I / returns headers
2) Validate presence/values","Headers present; secure values","pending","curl","Gateway config","Low","Automated","Staging","On commit","Security"
"TC-089","Chaos Test","Cache Service","Redis eviction under memory pressure","1) Reduce maxmemory
2) Flood keys
3) Verify eviction policy works","No crashes; stale-if-error semantics hold","pending","Redis config access","Isolated cache","Medium","Manual","Staging","Weekly","Platform SRE"
"TC-090","Integration Test","Model Disagreement Monitor","Alert when divergence > threshold","1) Feed conflicting forecasts
2) Check alert and fallback ensemble toggle","Alert fired; ENSEMBLE_MODE=weighted applied","pending","Synthetic outputs","Helm access","Medium","Automated","Staging","Daily","ML Ops"
