Table view
"Table","Column","Data Type","Nullable","Primary Key","Foreign Key","Default","Index Type","Partition Strategy","Description","Retention Policy"
"flare_events","start_time","TIMESTAMPTZ","NO","NO","","","BTREE","","Flare start time",""
"flare_events","peak_time","TIMESTAMPTZ","YES","NO","","","","Flare peak time","",""
"flare_events","end_time","TIMESTAMPTZ","YES","NO","","","","Flare end time","",""
"flare_events","class","TEXT","NO","NO","","BTREE","","Flare class (e.g., C3.2, M1.0, X2.1)","",""
"flare_events","noaa_ar","INTEGER","YES","NO","","","","NOAA region number if known","",""
"flare_events","source_region_id","BIGINT","YES","NO","active_regions(id)","","BTREE","","FK to active region",""
"flare_events","location","TEXT","YES","NO","","","","NOAA location (e.g., N15W33)","",""
"flare_events","goes_flux","DOUBLE PRECISION","YES","NO","","","","GOES 1–8 Å flux peak (W/m^2)","",""
"kp_predictions","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate key","Retain 2 years; compress after 90 days"
"kp_predictions","valid_from","TIMESTAMPTZ","NO","NO","","","BTREE","","Forecast validity start","Hypertable by valid_from"
"kp_predictions","valid_to","TIMESTAMPTZ","NO","NO","","","","Forecast validity end","",""
"kp_predictions","lead_time_min","INTEGER","NO","NO","","","","Lead time in minutes","",""
"kp_predictions","kp_mean","DOUBLE PRECISION","YES","NO","","","","Predicted Kp mean","",""
"kp_predictions","kp_p95","DOUBLE PRECISION","YES","NO","","","","Predicted Kp 95th percentile","",""
"kp_predictions","model_run_id","BIGINT","NO","NO","model_runs(id)","","BTREE","","Link to model run",""
"dst_predictions","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate key","Retain 2 years; compress after 90 days"
"dst_predictions","valid_time","TIMESTAMPTZ","NO","NO","","","BRIN","Hypertable by valid_time","Forecast valid timestamp",""
"dst_predictions","lead_time_min","INTEGER","NO","NO","","","","Lead time in minutes","",""
"dst_predictions","dst_mean_nT","DOUBLE PRECISION","YES","NO","","","","Predicted Dst mean (nT)","",""
"dst_predictions","dst_p95_nT","DOUBLE PRECISION","YES","NO","","","","Predicted Dst 95th percentile (nT)","",""
"dst_predictions","model_run_id","BIGINT","NO","NO","model_runs(id)","","BTREE","","Link to model run",""
"g_scale_forecasts","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate key","Retain 2 years; compress after 90 days"
"g_scale_forecasts","valid_from","TIMESTAMPTZ","NO","NO","","","BTREE","","Forecast validity start","Hypertable by valid_from"
"g_scale_forecasts","valid_to","TIMESTAMPTZ","NO","NO","","","","Forecast validity end","",""
"g_scale_forecasts","g_max","SMALLINT","NO","NO","","","","Max expected G-scale (0–5)","",""
"g_scale_forecasts","probabilities","JSONB","YES","NO","","GIN","","JSON mapping G0..G5 -> probability","",""
"g_scale_forecasts","model_run_id","BIGINT","NO","NO","model_runs(id)","","BTREE","","Link to model run",""
"model_runs","id","BIGSERIAL","NO","YES","","","BTREE","","Primary key","Keep indefinitely"
"model_runs","started_at","TIMESTAMPTZ","NO","NO","","now()","BTREE","","Run start time",""
"model_runs","ended_at","TIMESTAMPTZ","YES","NO","","","","Run end time","",""
"model_runs","model_name","TEXT","NO","NO","","","BTREE","","Model identifier",""
"model_runs","model_version","TEXT","NO","NO","","","","Semantic version or git SHA","",""
"model_runs","code_repo","TEXT","YES","NO","","","","Repository URL","",""
"model_runs","parameters","JSONB","YES","NO","","GIN","","Hyperparameters/config","",""
"model_runs","status","TEXT","NO","NO","","'running'","","Run status: running, success, failed","",""
"model_runs","metrics","JSONB","YES","NO","","GIN","","Training/inference metrics","",""
"model_runs","artifact_uri","TEXT","YES","NO","","","","Location of saved artifacts","",""
"alerts","id","BIGSERIAL","NO","YES","","","BTREE","","Primary key","Keep 1 year; compress after 90 days"
"alerts","created_at","TIMESTAMPTZ","NO","NO","","now()","BTREE","","Alert creation time","Hypertable by created_at"
"alerts","type","TEXT","NO","NO","","","BTREE","","Alert type (e.g., Kp, Dst, Flare, CME)",""
"alerts","severity","SMALLINT","NO","NO","","","","Severity level (1-5)","",""
"alerts","title","TEXT","NO","NO","","","","Short title","",""
"alerts","message","TEXT","NO","NO","","","","Detailed message","",""
"alerts","related_event","TEXT","YES","NO","","","","Related event identifier (e.g., flare id)","",""
"alerts","delivered","BOOLEAN","NO","NO","","false","","","Delivery status",""
"alerts","subscription_id","BIGINT","YES","NO","subscriptions(id)","","BTREE","","FK to subscription if applicable",""
"subscriptions","id","BIGSERIAL","NO","YES","","","BTREE","","Primary key","Keep active + 1 year after deletion"
"subscriptions","user_id","UUID","NO","NO","","","BTREE","","User identifier",""
"subscriptions","channel","TEXT","NO","NO","","","","Notification channel (email,sms,webhook)","",""
"subscriptions","criteria","JSONB","NO","NO","","GIN","","Filter criteria (e.g., Kp>=5, region=NA)","",""
"subscriptions","active","BOOLEAN","NO","NO","","true","","","Is subscription active",""
"subscriptions","created_at","TIMESTAMPTZ","NO","NO","","now()","","","Creation time",""
"subscriptions","updated_at","TIMESTAMPTZ","NO","NO","","now()","","","Last update time",""
"webhooks","id","BIGSERIAL","NO","YES","","","BTREE","","Primary key","Keep active + 1 year after deletion"
"webhooks","subscription_id","BIGINT","NO","NO","subscriptions(id)","","BTREE","","Owning subscription",""
"webhooks","url","TEXT","NO","NO","","","","Endpoint URL","",""
"webhooks","secret","TEXT","YES","NO","","","","Signing secret (HMAC)","",""
"webhooks","enabled","BOOLEAN","NO","NO","","true","","","Enabled flag",""
"webhooks","created_at","TIMESTAMPTZ","NO","NO","","now()","","","Creation time",""
"system_metrics","id","BIGSERIAL","NO","YES","","","BTREE","","Primary key","Retain 90 days; compress after 7 days"
"system_metrics","ts","TIMESTAMPTZ","NO","NO","","now()","BRIN","Timescale hypertable by ts","Metric timestamp",""
"system_metrics","metric","TEXT","NO","NO","","BTREE","","Metric name (e.g., ingest_lag_s)","",""
"system_metrics","value","DOUBLE PRECISION","NO","NO","","","","Metric value","",""
"system_metrics","labels","JSONB","YES","NO","","GIN","","Label map for dimensions","",""
"system_metrics","source","TEXT","YES","NO","","","","Source component","",""
"data_quality_log","id","BIGSERIAL","NO","YES","","","BTREE","","Primary key","Retain 1 year; compress after 30 days"
"data_quality_log","ts","TIMESTAMPTZ","NO","NO","","now()","BRIN","Timescale hypertable by ts","Event timestamp",""
"data_quality_log","table_name","TEXT","NO","NO","","BTREE","","Affected table","",""
"data_quality_log","record_id","BIGINT","YES","NO","","","","Affected record id if known","",""
"data_quality_log","issue_type","TEXT","NO","NO","","BTREE","","Issue type (missing, outlier, schema_mismatch, etc.)","",""
"data_quality_log","severity","SMALLINT","NO","NO","","","","Severity (1-5)","",""
"data_quality_log","details","TEXT","YES","NO","","","","Details/context","",""
"data_quality_log","resolved","BOOLEAN","NO","NO","","false","","","Resolution flag",""
"data_quality_log","resolved_at","TIMESTAMPTZ","YES","NO","","","","Resolution time","",""
