Table view
"Endpoint Name","HTTP Method","Authentication Required","Rate Limit (rpm)","Response Format","Latency SLA (ms)","Data Source","Update Frequency","Parameters","Response Schema","Error Codes","Cache Strategy","Webhook Support","Example Use Case"
"/api/v1/models/metrics","GET","Yes","60","JSON","5000","Model Output","Daily","query: model=all|lstm|gru|vit|resnet50|xgboost|pinn, window=7d|30d","{model, tss, hss, rmse, false_alarm_rate, last_trained}","400, 401, 429, 500, 503","5min","No","Monitor model quality vs. SLA."
"/api/v1/models/versions","GET","Yes","60","JSON","3000","Model Output","Daily","query:","{models:[{name, version, deployed_at, commit, serving_endpoint}]}","400, 401, 429, 500, 503","5min","No","Track what models are in production."
"/api/v1/models/inference-latency","GET","Yes","60","JSON","5000","Model Output","Hourly","query: model, percentile=p50|p95|p99, window=1h|24h","{model, p50_ms, p95_ms, p99_ms}","400, 401, 429, 500, 503","5min","No","Ensure inference latency <500 ms p95 target."
"/api/v1/models/feature-importance","GET","Yes","40","JSON","8000","Model Output","Daily","query: model=xgboost, top_k=20","{features:[{name, importance}], model_version}","400, 401, 429, 500, 503","5min","No","Explain drivers of G-scale predictions to stakeholders."
"/api/v1/status/feeds","GET","Yes","120","JSON","2000","SDO, GOES, ACE, DSCOVR, DONKI","Every 5 min","query:","{feeds:[{source,status,uptime,latency_s}]}","400, 401, 429, 500, 503","30s","No","NOC checks satellite feed availability."
"/api/v1/status/uptime","GET","Yes","120","JSON","1000","Model Output","Hourly","query:","{api_uptime_30d, system_uptime_30d}","400, 401, 429, 500, 503","5min","No","Compliance reporting of API availability."
"/api/v1/status/ingestion-delay","GET","Yes","120","JSON","2000","Model Output","Every 5 min","query: source, window=1h","{source, p50_s, p95_s, max_s, target_s:30}","400, 401, 429, 500, 503","30s","No","Alert if data latency exceeds 60s."
"/api/v1/status/prediction-latency","GET","Yes","60","JSON","5000","Model Output","Every 5 min","query: pipeline=kp|gscale|cme, window=1h","{pipeline, p50_ms, p95_ms, target_ms:120000}","400, 401, 429, 500, 503","5min","No","Ensure end-to-end predictions <2 minutes."
"/api/v1/webhooks/register","POST","Yes","20","JSON","5000","Model Output","Every 5 min","body:{url, events:[kp,gscale,flare,cme], filters:{thresholds,...}, secret}","{webhook_id, status}","400, 401, 429, 500, 503","None","Yes","Set up push notifications to SOC systems."
"/api/v1/webhooks/update","PUT","Yes","30","JSON","5000","Model Output","Every 5 min","body:{webhook_id, events?, filters?, secret?}","{webhook_id, status}","400, 401, 429, 500, 503","None","Yes","Tune thresholds without rotating endpoints."
"/api/v1/webhooks/delete","DELETE","Yes","60","JSON","3000","Model Output","Every 5 min","query/body:{webhook_id}","{status}","400, 401, 429, 500, 503","None","No","Remove outdated integrations."
"/api/v1/webhooks/test","POST","Yes","20","JSON","8000","Model Output","Every 5 min","body:{webhook_id, event_type, sample_payload?}","{status, delivery_ms, response_code}","400, 401, 429, 500, 503","None","Yes","Validate delivery and signatures before go-live."
